country,date,total_cases,daily_cases
Brazil,01/22/20,0,0
Brazil,01/23/20,0,0
Brazil,01/24/20,0,0
Brazil,01/25/20,0,0
Brazil,01/26/20,0,0
Brazil,01/27/20,0,0
Brazil,01/28/20,0,0
Brazil,01/29/20,0,0
Brazil,01/30/20,0,0
Brazil,01/31/20,0,0
Brazil,02/01/20,0,0
Brazil,02/02/20,0,0
Brazil,02/03/20,0,0
Brazil,02/04/20,0,0
Brazil,02/05/20,0,0
Brazil,02/06/20,0,0
Brazil,02/07/20,0,0
Brazil,02/08/20,0,0
Brazil,02/09/20,0,0
Brazil,02/10/20,0,0
Brazil,02/11/20,0,0
Brazil,02/12/20,0,0
Brazil,02/13/20,0,0
Brazil,02/14/20,0,0
Brazil,02/15/20,0,0
Brazil,02/16/20,0,0
Brazil,02/17/20,0,0
Brazil,02/18/20,0,0
Brazil,02/19/20,0,0
Brazil,02/20/20,0,0
Brazil,02/21/20,0,0
Brazil,02/22/20,0,0
Brazil,02/23/20,0,0
Brazil,02/24/20,0,0
Brazil,02/25/20,0,0
Brazil,02/26/20,1,1
Brazil,02/27/20,1,0
Brazil,02/28/20,1,0
Brazil,02/29/20,2,1
Brazil,03/01/20,2,0
Brazil,03/02/20,2,0
Brazil,03/03/20,2,0
Brazil,03/04/20,4,2
Brazil,03/05/20,4,0
Brazil,03/06/20,13,9
Brazil,03/07/20,13,0
Brazil,03/08/20,20,7
Brazil,03/09/20,25,5
Brazil,03/10/20,31,6
Brazil,03/11/20,38,7
Brazil,03/12/20,52,14
Brazil,03/13/20,151,99
Brazil,03/14/20,151,0
Brazil,03/15/20,162,11
Brazil,03/16/20,200,38
Brazil,03/17/20,321,121
Brazil,03/18/20,372,51
Brazil,03/19/20,621,249
Brazil,03/20/20,793,172
Brazil,03/21/20,1021,228
Brazil,03/22/20,1546,525
Brazil,03/23/20,1924,378
Brazil,03/24/20,2247,323
Brazil,03/25/20,2554,307
Brazil,03/26/20,2985,431
Brazil,03/27/20,3417,432
Brazil,03/28/20,3904,487
Brazil,03/29/20,4256,352
Brazil,03/30/20,4579,323
Brazil,03/31/20,5717,1138
Brazil,04/01/20,6836,1119
Brazil,04/02/20,8044,1208
Brazil,04/03/20,9056,1012
Brazil,04/04/20,10360,1304
Brazil,04/05/20,11130,770
Brazil,04/06/20,12161,1031
Brazil,04/07/20,14034,1873
Brazil,04/08/20,16170,2136
Brazil,04/09/20,18092,1922
Brazil,04/10/20,19638,1546
Brazil,04/11/20,20727,1089
Brazil,04/12/20,22192,1465
Brazil,04/13/20,23430,1238
Brazil,04/14/20,25262,1832
Brazil,04/15/20,28320,3058
Brazil,04/16/20,30425,2105
Brazil,04/17/20,33682,3257
Brazil,04/18/20,36658,2976
Brazil,04/19/20,38654,1996
Brazil,04/20/20,40743,2089
Brazil,04/21/20,43079,2336
Brazil,04/22/20,45757,2678
Brazil,04/23/20,50036,4279
Brazil,04/24/20,54043,4007
Brazil,04/25/20,59324,5281
Brazil,04/26/20,63100,3776
Brazil,04/27/20,67446,4346
Brazil,04/28/20,73235,5789
Brazil,04/29/20,79685,6450
Brazil,04/30/20,87187,7502
Brazil,05/01/20,92202,5015
Brazil,05/02/20,97100,4898
Brazil,05/03/20,101826,4726
Brazil,05/04/20,108620,6794
Brazil,05/05/20,115455,6835
Brazil,05/06/20,126611,11156
Brazil,05/07/20,135773,9162
Brazil,05/08/20,146894,11121
Brazil,05/09/20,156061,9167
Brazil,05/10/20,162699,6638
Brazil,05/11/20,169594,6895
Brazil,05/12/20,178214,8620
Brazil,05/13/20,190137,11923
Brazil,05/14/20,203165,13028
Brazil,05/15/20,220291,17126
Brazil,05/16/20,233511,13220
Brazil,05/17/20,241080,7569
Brazil,05/18/20,255368,14288
Brazil,05/19/20,271885,16517
Brazil,05/20/20,291579,19694
Brazil,05/21/20,310087,18508
Brazil,05/22/20,330890,20803
Brazil,05/23/20,347398,16508
Brazil,05/24/20,363211,15813
Brazil,05/25/20,374898,11687
Brazil,05/26/20,391222,16324
Brazil,05/27/20,411821,20599
Brazil,05/28/20,438238,26417
Brazil,05/29/20,465166,26928
Brazil,05/30/20,498440,33274
Brazil,05/31/20,514849,16409
Brazil,06/01/20,526447,11598
Brazil,06/02/20,555383,28936
Brazil,06/03/20,584016,28633
Brazil,06/04/20,614941,30925
Brazil,06/05/20,645771,30830
Brazil,06/06/20,672846,27075
Brazil,06/07/20,691758,18912
Brazil,06/08/20,707412,15654
Brazil,06/09/20,739503,32091
Brazil,06/10/20,772416,32913
Brazil,06/11/20,802828,30412
Brazil,06/12/20,828810,25982
Brazil,06/13/20,850514,21704
Brazil,06/14/20,867624,17110
Brazil,06/15/20,888271,20647
Brazil,06/16/20,923189,34918
Brazil,06/17/20,955377,32188
Brazil,06/18/20,978142,22765
Brazil,06/19/20,1032913,54771
Brazil,06/20/20,1067579,34666
Brazil,06/21/20,1083341,15762
Brazil,06/22/20,1106470,23129
Brazil,06/23/20,1145906,39436
Brazil,06/24/20,1188631,42725
Brazil,06/25/20,1228114,39483
Brazil,06/26/20,1274974,46860
Brazil,06/27/20,1313667,38693
Brazil,06/28/20,1344143,30476
Brazil,06/29/20,1368195,24052
Brazil,06/30/20,1402041,33846
Brazil,07/01/20,1448753,46712
Brazil,07/02/20,1496858,48105
Brazil,07/03/20,1539081,42223
Brazil,07/04/20,1577004,37923
Brazil,07/05/20,1603055,26051
Brazil,07/06/20,1623284,20229
Brazil,07/07/20,1668589,45305
Brazil,07/08/20,1713160,44571
Brazil,07/09/20,1755779,42619
Brazil,07/10/20,1800827,45048
Brazil,07/11/20,1839850,39023
Brazil,07/12/20,1864681,24831
Brazil,07/13/20,1884967,20286
Brazil,07/14/20,1926824,41857
Brazil,07/15/20,1966748,39924
Brazil,07/16/20,2012151,45403
Brazil,07/17/20,2046328,34177
Brazil,07/18/20,2074860,28532
Brazil,07/19/20,2098389,23529
Brazil,07/20/20,2118646,20257
Brazil,07/21/20,2159654,41008
Brazil,07/22/20,2227514,67860
Brazil,07/23/20,2287475,59961
Brazil,07/24/20,2343366,55891
Brazil,07/25/20,2394513,51147
Brazil,07/26/20,2419091,24578
Brazil,07/27/20,2442375,23284
Chile,01/22/20,0,0
Chile,01/23/20,0,0
Chile,01/24/20,0,0
Chile,01/25/20,0,0
Chile,01/26/20,0,0
Chile,01/27/20,0,0
Chile,01/28/20,0,0
Chile,01/29/20,0,0
Chile,01/30/20,0,0
Chile,01/31/20,0,0
Chile,02/01/20,0,0
Chile,02/02/20,0,0
Chile,02/03/20,0,0
Chile,02/04/20,0,0
Chile,02/05/20,0,0
Chile,02/06/20,0,0
Chile,02/07/20,0,0
Chile,02/08/20,0,0
Chile,02/09/20,0,0
Chile,02/10/20,0,0
Chile,02/11/20,0,0
Chile,02/12/20,0,0
Chile,02/13/20,0,0
Chile,02/14/20,0,0
Chile,02/15/20,0,0
Chile,02/16/20,0,0
Chile,02/17/20,0,0
Chile,02/18/20,0,0
Chile,02/19/20,0,0
Chile,02/20/20,0,0
Chile,02/21/20,0,0
Chile,02/22/20,0,0
Chile,02/23/20,2,2
Chile,02/24/20,2,0
Chile,02/25/20,2,0
Chile,02/26/20,2,0
Chile,02/27/20,2,0
Chile,02/28/20,2,0
Chile,02/29/20,2,0
Chile,03/01/20,9,7
Chile,03/02/20,9,0
Chile,03/03/20,10,1
Chile,03/04/20,10,0
Chile,03/05/20,13,3
Chile,03/06/20,13,0
Chile,03/07/20,13,0
Chile,03/08/20,20,7
Chile,03/09/20,20,0
Chile,03/10/20,25,5
Chile,03/11/20,35,10
Chile,03/12/20,35,0
Chile,03/13/20,55,20
Chile,03/14/20,88,33
Chile,03/15/20,101,13
Chile,03/16/20,182,81
Chile,03/17/20,228,46
Chile,03/18/20,265,37
Chile,03/19/20,265,0
Chile,03/20/20,461,196
Chile,03/21/20,592,131
Chile,03/22/20,687,95
Chile,03/23/20,801,114
Chile,03/24/20,977,176
Chile,03/25/20,1197,220
Chile,03/26/20,1361,164
Chile,03/27/20,1665,304
Chile,03/28/20,2015,350
Chile,03/29/20,2245,230
Chile,03/30/20,2555,310
Chile,03/31/20,2844,289
Chile,04/01/20,3137,293
Chile,04/02/20,3510,373
Chile,04/03/20,3843,333
Chile,04/04/20,4355,512
Chile,04/05/20,4665,310
Chile,04/06/20,5009,344
Chile,04/07/20,5310,301
Chile,04/08/20,5740,430
Chile,04/09/20,6166,426
Chile,04/10/20,6695,529
Chile,04/11/20,7366,671
Chile,04/12/20,7652,286
Chile,04/13/20,7964,312
Chile,04/14/20,8356,392
Chile,04/15/20,8712,356
Chile,04/16/20,9246,534
Chile,04/17/20,9691,445
Chile,04/18/20,10598,907
Chile,04/19/20,10956,358
Chile,04/20/20,11375,419
Chile,04/21/20,11700,325
Chile,04/22/20,12164,464
Chile,04/23/20,12680,516
Chile,04/24/20,13174,494
Chile,04/25/20,14537,1363
Chile,04/26/20,15010,473
Chile,04/27/20,15492,482
Chile,04/28/20,16044,552
Chile,04/29/20,16564,520
Chile,04/30/20,17702,1138
Chile,05/01/20,18687,985
Chile,05/02/20,21213,2526
Chile,05/03/20,22441,1228
Chile,05/04/20,23421,980
Chile,05/05/20,24794,1373
Chile,05/06/20,25826,1032
Chile,05/07/20,27359,1533
Chile,05/08/20,28750,1391
Chile,05/09/20,32208,3458
Chile,05/10/20,33855,1647
Chile,05/11/20,35052,1197
Chile,05/12/20,36710,1658
Chile,05/13/20,39370,2660
Chile,05/14/20,42029,2659
Chile,05/15/20,44531,2502
Chile,05/16/20,50016,5485
Chile,05/17/20,52369,2353
Chile,05/18/20,54647,2278
Chile,05/19/20,58167,3520
Chile,05/20/20,62205,4038
Chile,05/21/20,66169,3964
Chile,05/22/20,70445,4276
Chile,05/23/20,80287,9842
Chile,05/24/20,83996,3709
Chile,05/25/20,88891,4895
Chile,05/26/20,92855,3964
Chile,05/27/20,97183,4328
Chile,05/28/20,101837,4654
Chile,05/29/20,105532,3695
Chile,05/30/20,118720,13188
Chile,05/31/20,123550,4830
Chile,06/01/20,129020,5470
Chile,06/02/20,132548,3528
Chile,06/03/20,137490,4942
Chile,06/04/20,142154,4664
Chile,06/05/20,146361,4207
Chile,06/06/20,160351,13990
Chile,06/07/20,166756,6405
Chile,06/08/20,171452,4696
Chile,06/09/20,175365,3913
Chile,06/10/20,181062,5697
Chile,06/11/20,186698,5636
Chile,06/12/20,193452,6754
Chile,06/13/20,201634,8182
Chile,06/14/20,208572,6938
Chile,06/15/20,213715,5143
Chile,06/16/20,218728,5013
Chile,06/17/20,220628,1900
Chile,06/18/20,225103,4475
Chile,06/19/20,231393,6290
Chile,06/20/20,236748,5355
Chile,06/21/20,242355,5607
Chile,06/22/20,246963,4608
Chile,06/23/20,250767,3804
Chile,06/24/20,254416,3649
Chile,06/25/20,259064,4648
Chile,06/26/20,263360,4296
Chile,06/27/20,267766,4406
Chile,06/28/20,271982,4216
Chile,06/29/20,275999,4017
Chile,06/30/20,279393,3394
Chile,07/01/20,282043,2650
Chile,07/02/20,284541,2498
Chile,07/03/20,288089,3548
Chile,07/04/20,291847,3758
Chile,07/05/20,295532,3685
Chile,07/06/20,298557,3025
Chile,07/07/20,301019,2462
Chile,07/08/20,303083,2064
Chile,07/09/20,306216,3133
Chile,07/10/20,309274,3058
Chile,07/11/20,312029,2755
Chile,07/12/20,315041,3012
Chile,07/13/20,317657,2616
Chile,07/14/20,319493,1836
Chile,07/15/20,321205,1712
Chile,07/16/20,323698,2493
Chile,07/17/20,326439,2741
Chile,07/18/20,328846,2407
Chile,07/19/20,330930,2084
Chile,07/20/20,333029,2099
Chile,07/21/20,334683,1654
Chile,07/22/20,336402,1719
Chile,07/23/20,338759,2357
Chile,07/24/20,341304,2545
Chile,07/25/20,343592,2288
Chile,07/26/20,345790,2198
Chile,07/27/20,347923,2133
India,01/22/20,0,0
India,01/23/20,0,0
India,01/24/20,0,0
India,01/25/20,0,0
India,01/26/20,0,0
India,01/27/20,0,0
India,01/28/20,0,0
India,01/29/20,0,0
India,01/30/20,1,1
India,01/31/20,1,0
India,02/01/20,1,0
India,02/02/20,2,1
India,02/03/20,3,1
India,02/04/20,3,0
India,02/05/20,3,0
India,02/06/20,3,0
India,02/07/20,3,0
India,02/08/20,3,0
India,02/09/20,3,0
India,02/10/20,3,0
India,02/11/20,3,0
India,02/12/20,3,0
India,02/13/20,3,0
India,02/14/20,3,0
India,02/15/20,3,0
India,02/16/20,3,0
India,02/17/20,3,0
India,02/18/20,3,0
India,02/19/20,3,0
India,02/20/20,3,0
India,02/21/20,3,0
India,02/22/20,3,0
India,02/23/20,3,0
India,02/24/20,3,0
India,02/25/20,3,0
India,02/26/20,3,0
India,02/27/20,3,0
India,02/28/20,3,0
India,02/29/20,3,0
India,03/01/20,3,0
India,03/02/20,5,2
India,03/03/20,5,0
India,03/04/20,28,23
India,03/05/20,30,2
India,03/06/20,31,1
India,03/07/20,34,3
India,03/08/20,39,5
India,03/09/20,43,4
India,03/10/20,56,13
India,03/11/20,62,6
India,03/12/20,73,11
India,03/13/20,82,9
India,03/14/20,102,20
India,03/15/20,113,11
India,03/16/20,119,6
India,03/17/20,142,23
India,03/18/20,156,14
India,03/19/20,194,38
India,03/20/20,244,50
India,03/21/20,330,86
India,03/22/20,396,66
India,03/23/20,499,103
India,03/24/20,536,37
India,03/25/20,657,121
India,03/26/20,727,70
India,03/27/20,887,160
India,03/28/20,987,100
India,03/29/20,1024,37
India,03/30/20,1251,227
India,03/31/20,1397,146
India,04/01/20,1998,601
India,04/02/20,2543,545
