country,date,deaths,daily_deaths
Brazil,03/01/20,0,0
Brazil,03/02/20,0,0
Brazil,03/03/20,0,0
Brazil,03/04/20,0,0
Brazil,03/05/20,0,0
Brazil,03/06/20,0,0
Brazil,03/07/20,0,0
Brazil,03/08/20,0,0
Brazil,03/09/20,0,0
Brazil,03/10/20,0,0
Brazil,03/11/20,0,0
Brazil,03/12/20,0,0
Brazil,03/13/20,0,0
Brazil,03/14/20,0,0
Brazil,03/15/20,0,0
Brazil,03/16/20,0,0
Brazil,03/17/20,1,1
Brazil,03/18/20,3,2
Brazil,03/19/20,6,3
Brazil,03/20/20,11,5
Brazil,03/21/20,15,4
Brazil,03/22/20,25,10
Brazil,03/23/20,34,9
Brazil,03/24/20,46,12
Brazil,03/25/20,59,13
Brazil,03/26/20,77,18
Brazil,03/27/20,92,15
Brazil,03/28/20,111,19
Brazil,03/29/20,136,25
Brazil,03/30/20,159,23
Brazil,03/31/20,201,42
Brazil,04/01/20,240,39
Brazil,04/02/20,324,84
Brazil,04/03/20,359,35
Brazil,04/04/20,445,86
Brazil,04/05/20,486,41
Brazil,04/06/20,564,78
Brazil,04/07/20,686,122
Brazil,04/08/20,819,133
Brazil,04/09/20,950,131
Brazil,04/10/20,1057,107
Brazil,04/11/20,1124,67
Brazil,04/12/20,1223,99
Brazil,04/13/20,1328,105
Brazil,04/14/20,1532,204
Brazil,04/15/20,1736,204
Brazil,04/16/20,1924,188
Brazil,04/17/20,2141,217
Brazil,04/18/20,2354,213
Brazil,04/19/20,2462,108
Brazil,04/20/20,2587,125
Brazil,04/21/20,2741,154
Brazil,04/22/20,2906,165
Brazil,04/23/20,3331,425
Brazil,04/24/20,3704,373
Brazil,04/25/20,4057,353
Brazil,04/26/20,4286,229
Brazil,04/27/20,4603,317
Brazil,04/28/20,5083,480
Brazil,04/29/20,5513,430
Brazil,04/30/20,6006,493
Brazil,05/01/20,6412,406
Brazil,05/02/20,6761,349
Brazil,05/03/20,7051,290
Brazil,05/04/20,7367,316
Brazil,05/05/20,7938,571
Brazil,05/06/20,8588,650
Brazil,05/07/20,9190,602
Brazil,05/08/20,10017,827
Brazil,05/09/20,10656,639
Brazil,05/10/20,11123,467
Brazil,05/11/20,11653,530
Brazil,05/12/20,12461,808
