country,date,cases
Brazil,01/22/20,0
Brazil,01/23/20,0
Brazil,01/24/20,0
Brazil,01/25/20,0
Brazil,01/26/20,0
Brazil,01/27/20,0
Brazil,01/28/20,0
Brazil,01/29/20,0
Brazil,01/30/20,0
Brazil,01/31/20,0
Brazil,02/01/20,0
Brazil,02/02/20,0
Brazil,02/03/20,0
Brazil,02/04/20,0
Brazil,02/05/20,0
Brazil,02/06/20,0
Brazil,02/07/20,0
Brazil,02/08/20,0
Brazil,02/09/20,0
Brazil,02/10/20,0
Brazil,02/11/20,0
Brazil,02/12/20,0
Brazil,02/13/20,0
Brazil,02/14/20,0
Brazil,02/15/20,0
Brazil,02/16/20,0
Brazil,02/17/20,0
Brazil,02/18/20,0
Brazil,02/19/20,0
Brazil,02/20/20,0
Brazil,02/21/20,0
Brazil,02/22/20,0
Brazil,02/23/20,0
Brazil,02/24/20,0
Brazil,02/25/20,0
Brazil,02/26/20,1
Brazil,02/27/20,1
Brazil,02/28/20,1
Brazil,02/29/20,2
Brazil,03/01/20,2
Brazil,03/02/20,2
Brazil,03/03/20,2
Brazil,03/04/20,4
Brazil,03/05/20,4
Brazil,03/06/20,13
Brazil,03/07/20,13
Brazil,03/08/20,20
Brazil,03/09/20,25
Brazil,03/10/20,31
Brazil,03/11/20,38
Brazil,03/12/20,52
Brazil,03/13/20,151
Brazil,03/14/20,151
Brazil,03/15/20,162
Brazil,03/16/20,200
Brazil,03/17/20,321
Brazil,03/18/20,372
Brazil,03/19/20,621
Brazil,03/20/20,793
Brazil,03/21/20,1021
Brazil,03/22/20,1546
Brazil,03/23/20,1924
Brazil,03/24/20,2247
Brazil,03/25/20,2554
Brazil,03/26/20,2985
Brazil,03/27/20,3417
Brazil,03/28/20,3904
Brazil,03/29/20,4256
Brazil,03/30/20,4579
Brazil,03/31/20,5717
Brazil,04/01/20,6836
Brazil,04/02/20,8044
Brazil,04/03/20,9056
Brazil,04/04/20,10360
Brazil,04/05/20,11130
Brazil,04/06/20,12161
Brazil,04/07/20,14034
Brazil,04/08/20,16170
Brazil,04/09/20,18092
Brazil,04/10/20,19638
Brazil,04/11/20,20727
Brazil,04/12/20,22192
Brazil,04/13/20,23430
Brazil,04/14/20,25262
Brazil,04/15/20,28320
Brazil,04/16/20,30425
Brazil,04/17/20,33682
Brazil,04/18/20,36658
Brazil,04/19/20,38654
Brazil,04/20/20,40743
Brazil,04/21/20,43079
Brazil,04/22/20,45757
Brazil,04/23/20,50036
Brazil,04/24/20,54043
Brazil,04/25/20,59324
Brazil,04/26/20,63100
Brazil,04/27/20,67446
Brazil,04/28/20,73235
Brazil,04/29/20,79685
Brazil,04/30/20,87187
Brazil,05/01/20,92202
Brazil,05/02/20,97100
Brazil,05/03/20,101826
Brazil,05/04/20,108620
Brazil,05/05/20,115455
Brazil,05/06/20,126611
Brazil,05/07/20,135773
Brazil,05/08/20,146894
Brazil,05/09/20,156061
Brazil,05/10/20,162699
Brazil,05/11/20,169594
Brazil,05/12/20,178214
Brazil,05/13/20,190137
Brazil,05/14/20,203165
Brazil,05/15/20,220291
Brazil,05/16/20,233511
Brazil,05/17/20,241080
Brazil,05/18/20,255368
Brazil,05/19/20,271885
Brazil,05/20/20,291579
Brazil,05/21/20,310087
Brazil,05/22/20,330890
Brazil,05/23/20,347398
Brazil,05/24/20,363211
Brazil,05/25/20,374898
Brazil,05/26/20,391222
Brazil,05/27/20,411821
Brazil,05/28/20,438238
Brazil,05/29/20,465166
Brazil,05/30/20,498440
Brazil,05/31/20,514849
Brazil,06/01/20,526447
Brazil,06/02/20,555383
Brazil,06/03/20,584016
Brazil,06/04/20,614941
Brazil,06/05/20,645771
Brazil,06/06/20,672846
Brazil,06/07/20,691758
